tehsil,year,season,rainfall_mm,temperature_c,recharge_proxy,crop_water_intensity_index,borewell_density,irrigation_census_proxy,observed_water_table_m,_true_human_residual_m,rainfall_mm_lag1,observed_water_table_m_lag1
Katol,2011,Post-Monsoon,126.6,27.5,0.15,36.68,7.61,24.19,19.465,1.999,657.1,18.329
Katol,2011,Winter,17.8,20.4,0.0,29.68,6.01,22.79,19.868,2.436,126.6,19.465
Katol,2012,Pre-Monsoon,77.0,34.3,0.094,40.43,8.39,23.47,19.323,2.498,17.8,19.868
Katol,2012,Monsoon,692.5,29.9,0.613,40.85,8.27,26.18,16.797,1.735,77.0,19.323
Katol,2012,Post-Monsoon,57.2,27.9,0.056,42.59,6.11,19.45,21.254,2.237,692.5,16.797
Katol,2012,Winter,19.5,24.6,0.042,42.74,7.86,27.03,19.196,1.892,57.2,21.254
Katol,2013,Pre-Monsoon,67.8,32.7,0.056,39.15,9.09,26.67,20.037,2.635,19.5,19.196
Katol,2013,Monsoon,694.7,25.5,0.558,41.67,7.91,27.82,18.402,2.961,67.8,20.037
Katol,2013,Post-Monsoon,116.4,26.6,0.18,45.66,8.71,23.83,19.525,2.834,694.7,18.402
Katol,2013,Winter,18.2,20.9,0.064,40.16,5.15,26.06,19.342,2.248,116.4,19.525
Katol,2014,Pre-Monsoon,57.9,35.0,0.006,41.3,8.84,24.73,20.312,2.671,18.2,19.342
Katol,2014,Monsoon,639.5,24.5,0.595,37.87,8.47,24.05,16.996,2.182,57.9,20.312
Katol,2014,Post-Monsoon,101.8,26.8,0.078,45.79,8.44,24.52,19.581,2.105,639.5,16.996
Katol,2014,Winter,18.0,17.9,0.0,40.15,9.73,22.01,19.812,2.762,101.8,19.581
Katol,2015,Pre-Monsoon,50.7,33.2,0.064,37.5,6.87,27.03,20.601,2.134,18.0,19.812
Katol,2015,Monsoon,788.9,29.7,0.69,44.43,10.55,23.93,16.915,2.361,50.7,20.601
Katol,2015,Post-Monsoon,112.2,24.8,0.071,45.31,9.72,27.41,20.267,2.889,788.9,16.915
Katol,2015,Winter,23.4,22.1,0.099,43.35,8.27,29.66,19.066,2.446,112.2,20.267
Katol,2016,Pre-Monsoon,64.5,32.9,0.046,46.38,10.29,27.69,19.212,2.22,23.4,19.066
Katol,2016,Monsoon,444.8,26.8,0.363,44.0,8.52,28.1,20.188,2.812,64.5,19.212
Katol,2016,Post-Monsoon,109.3,25.4,0.108,47.86,8.39,29.29,19.639,2.828,444.8,20.188
Katol,2016,Winter,19.1,23.4,0.0,46.76,9.26,28.95,20.283,2.804,109.3,19.639
Katol,2017,Pre-Monsoon,77.8,34.0,0.094,45.64,10.63,28.76,20.391,3.474,19.1,20.283
Katol,2017,Monsoon,345.8,26.3,0.347,49.4,10.12,33.19,21.028,3.365,77.8,20.391
Katol,2017,Post-Monsoon,162.3,26.5,0.173,46.82,9.27,34.93,18.976,3.135,345.8,21.028
Katol,2017,Winter,16.5,21.0,0.058,49.41,8.16,30.13,20.767,2.757,162.3,18.976
Katol,2018,Pre-Monsoon,87.0,34.9,0.076,48.26,11.52,30.78,19.748,3.158,16.5,20.767
Katol,2018,Monsoon,688.2,26.8,0.649,46.78,8.82,33.67,17.921,2.984,87.0,19.748
Katol,2018,Post-Monsoon,110.5,27.0,0.098,47.91,10.13,37.18,20.155,3.178,688.2,17.921
Katol,2018,Winter,19.2,20.4,0.0,50.54,10.06,26.88,20.901,3.341,110.5,20.155
Katol,2019,Pre-Monsoon,66.7,34.1,0.1,56.05,12.14,31.25,20.68,3.447,19.2,20.901
Katol,2019,Monsoon,706.9,30.0,0.653,55.42,11.19,33.42,17.965,3.035,66.7,20.68
Katol,2019,Post-Monsoon,153.0,27.8,0.108,53.9,10.92,34.45,19.991,3.529,706.9,17.965
Katol,2019,Winter,27.0,21.4,0.043,48.5,13.17,34.77,18.944,2.701,153.0,19.991
Katol,2020,Pre-Monsoon,76.1,34.4,0.011,55.74,11.04,38.59,20.509,3.446,27.0,18.944
Katol,2020,Monsoon,505.1,25.7,0.447,55.11,10.25,30.9,19.564,2.981,76.1,20.509
Katol,2020,Post-Monsoon,69.8,25.1,0.062,55.42,10.81,39.21,21.471,3.167,505.1,19.564
Katol,2020,Winter,21.6,20.3,0.015,56.69,13.05,33.02,20.365,3.454,69.8,21.471
Katol,2021,Pre-Monsoon,62.0,34.0,0.09,57.88,11.82,36.0,20.901,3.279,21.6,20.365
Katol,2021,Monsoon,639.6,25.7,0.545,58.6,11.99,40.63,18.91,3.671,62.0,20.901
Katol,2021,Post-Monsoon,97.7,23.5,0.126,51.78,12.13,35.07,20.463,2.956,639.6,18.91
Katol,2021,Winter,22.0,19.7,0.0,53.22,10.72,35.48,20.021,3.096,97.7,20.463
Katol,2022,Pre-Monsoon,62.1,33.1,0.076,60.2,12.26,39.21,21.135,3.736,22.0,20.021
Katol,2022,Monsoon,736.2,24.7,0.674,59.59,12.5,40.49,17.381,3.2,62.1,21.135
Katol,2022,Post-Monsoon,69.9,25.7,0.101,50.16,11.44,35.42,21.37,3.041,736.2,17.381
Katol,2022,Winter,24.9,21.6,0.027,57.07,11.86,40.14,19.931,3.762,69.9,21.37
Katol,2023,Pre-Monsoon,65.5,33.8,0.071,48.93,13.59,39.18,20.856,3.524,24.9,19.931
Katol,2023,Monsoon,503.5,26.8,0.454,57.86,13.45,42.06,19.87,3.726,65.5,20.856
Katol,2023,Post-Monsoon,72.4,26.2,0.047,56.41,12.39,39.04,22.103,3.119,503.5,19.87
Katol,2023,Winter,14.8,23.2,0.0,57.44,12.89,37.1,22.366,4.263,72.4,22.103
Katol,2024,Pre-Monsoon,48.7,34.8,0.019,53.82,14.88,43.83,22.218,3.512,14.8,22.366
Katol,2024,Monsoon,727.6,27.5,0.641,54.29,13.97,43.63,18.169,3.803,48.7,22.218
Katol,2024,Post-Monsoon,137.3,27.1,0.102,54.3,13.33,43.15,19.948,3.355,727.6,18.169
Katol,2024,Winter,28.2,22.1,0.048,62.05,14.44,40.32,19.57,3.716,137.3,19.948
Kuhi,2010,Monsoon,672.9,25.6,0.611,21.66,9.97,25.44,17.719,1.794,69.2,19.377
Kuhi,2010,Post-Monsoon,110.0,26.0,0.049,23.43,10.18,28.43,20.888,2.35,672.9,17.719
Kuhi,2010,Winter,19.3,19.4,0.0,25.8,12.12,22.41,20.049,2.055,110.0,20.888
Kuhi,2011,Pre-Monsoon,34.3,31.9,0.046,17.78,10.74,27.11,21.602,1.766,19.3,20.049
Kuhi,2011,Monsoon,797.4,27.4,0.714,23.75,11.57,31.0,17.577,2.51,34.3,21.602
Kuhi,2011,Post-Monsoon,111.1,25.7,0.098,20.61,12.45,28.92,20.317,2.239,797.4,17.577
Kuhi,2011,Winter,23.3,19.3,0.017,23.46,11.81,25.14,18.515,1.708,111.1,20.317
Kuhi,2012,Pre-Monsoon,60.1,36.2,0.073,25.47,11.71,30.9,20.572,2.17,23.3,18.515
Kuhi,2012,Monsoon,875.4,27.5,0.784,24.88,12.25,27.51,16.064,1.96,60.1,20.572
Kuhi,2012,Post-Monsoon,106.4,25.4,0.058,25.46,11.56,27.34,20.821,2.356,875.4,16.064
Kuhi,2012,Winter,22.3,20.7,0.003,22.09,11.15,28.19,19.554,2.035,106.4,20.821
Kuhi,2013,Pre-Monsoon,36.2,35.1,0.019,24.3,11.2,30.63,22.262,2.015,22.3,19.554
Kuhi,2013,Monsoon,771.7,24.6,0.769,34.15,9.59,29.33,16.732,2.278,36.2,22.262
Kuhi,2013,Post-Monsoon,137.4,25.9,0.099,26.3,12.81,26.61,19.908,2.819,771.7,16.732
Kuhi,2013,Winter,19.6,20.5,0.034,32.13,12.88,25.78,19.931,2.293,137.4,19.908
Kuhi,2014,Pre-Monsoon,35.1,35.1,0.0,32.89,14.68,30.38,22.415,2.27,19.6,19.931
Kuhi,2014,Monsoon,567.4,25.6,0.513,27.01,12.53,33.38,19.335,2.885,35.1,22.415
Kuhi,2014,Post-Monsoon,161.9,24.7,0.149,26.94,12.51,33.01,19.714,2.711,567.4,19.335
Kuhi,2014,Winter,21.1,20.0,0.0,24.97,12.42,31.63,19.629,2.238,161.9,19.714
Kuhi,2015,Pre-Monsoon,75.5,33.2,0.028,31.38,11.1,35.21,20.776,3.018,21.1,19.629
Kuhi,2015,Monsoon,810.4,26.9,0.735,25.89,14.01,34.13,17.878,2.732,75.5,20.776
Kuhi,2015,Post-Monsoon,99.3,24.2,0.136,27.66,14.89,33.75,20.75,2.445,810.4,17.878
Kuhi,2015,Winter,20.1,20.5,0.039,29.57,12.61,33.94,20.489,2.617,99.3,20.75
Kuhi,2016,Pre-Monsoon,42.9,36.3,0.086,34.24,13.58,33.12,22.277,2.57,20.1,20.489
Kuhi,2016,Monsoon,921.9,26.9,0.901,27.39,14.49,39.05,16.064,2.53,42.9,22.277
Kuhi,2016,Post-Monsoon,151.3,25.0,0.136,27.89,15.53,36.76,19.25,2.296,921.9,16.064
Kuhi,2016,Winter,18.3,19.6,0.0,29.65,12.52,32.31,20.772,2.322,151.3,19.25
Kuhi,2017,Pre-Monsoon,48.0,34.1,0.102,32.14,14.91,31.39,21.817,2.504,18.3,20.772
Kuhi,2017,Monsoon,636.4,27.8,0.605,31.82,15.62,33.4,18.866,2.602,48.0,21.817
Kuhi,2017,Post-Monsoon,111.0,26.1,0.07,33.92,14.57,33.95,21.053,2.781,636.4,18.866
Kuhi,2017,Winter,20.2,19.7,0.089,36.36,14.8,38.23,19.292,2.158,111.0,21.053
Kuhi,2018,Pre-Monsoon,44.2,33.7,0.047,37.53,13.95,37.73,22.337,3.009,20.2,19.292
Kuhi,2018,Monsoon,820.1,26.9,0.807,32.4,15.83,36.59,17.29,3.005,44.2,22.337
Kuhi,2018,Post-Monsoon,50.4,22.0,0.084,38.46,16.97,36.69,22.191,2.972,820.1,17.29
Kuhi,2018,Winter,14.6,23.1,0.081,36.21,15.07,33.5,21.938,2.864,50.4,22.191
Kuhi,2019,Pre-Monsoon,68.9,33.2,0.068,32.04,16.73,37.91,21.095,2.823,14.6,21.938
Kuhi,2019,Monsoon,463.1,28.0,0.399,34.9,15.64,38.47,20.135,2.86,68.9,21.095
Kuhi,2019,Post-Monsoon,111.0,25.7,0.107,35.99,14.61,38.08,20.95,2.582,463.1,20.135
Kuhi,2019,Winter,14.8,22.2,0.011,33.81,15.73,35.16,21.017,2.393,111.0,20.95
Kuhi,2020,Pre-Monsoon,80.9,33.0,0.088,35.45,16.96,37.03,20.317,3.015,14.8,21.017
Kuhi,2020,Monsoon,756.1,26.2,0.716,44.37,14.57,37.49,17.989,3.052,80.9,20.317
Kuhi,2020,Post-Monsoon,82.7,27.8,0.033,37.35,17.24,39.52,21.71,2.728,756.1,17.989
Kuhi,2020,Winter,16.2,21.3,0.0,40.39,16.31,40.07,22.092,3.063,82.7,21.71
Kuhi,2021,Pre-Monsoon,53.0,33.7,0.046,37.05,14.73,39.63,21.997,3.014,16.2,22.092
Kuhi,2021,Monsoon,959.2,28.0,0.923,41.85,18.46,45.66,17.251,3.698,53.0,21.997
Kuhi,2021,Post-Monsoon,120.9,25.6,0.13,37.39,16.56,35.14,21.144,2.939,959.2,17.251
Kuhi,2021,Winter,26.3,21.4,0.067,35.82,19.15,43.75,20.656,3.705,120.9,21.144
Kuhi,2022,Pre-Monsoon,56.8,35.9,0.0,42.82,17.84,47.39,22.596,4.0,26.3,20.656
Kuhi,2022,Monsoon,566.1,25.4,0.488,42.35,16.2,44.31,19.554,2.977,56.8,22.596
Kuhi,2022,Post-Monsoon,125.3,25.6,0.116,43.23,18.39,41.69,20.936,3.473,566.1,19.554
Kuhi,2022,Winter,12.8,19.8,0.0,40.51,16.55,44.23,21.529,2.822,125.3,20.936
Kuhi,2023,Pre-Monsoon,57.1,32.1,0.034,41.53,17.48,44.28,22.316,3.831,12.8,21.529
Kuhi,2023,Monsoon,553.8,27.1,0.513,46.37,17.27,45.81,20.819,4.023,57.1,22.316
Kuhi,2023,Post-Monsoon,126.5,25.7,0.131,42.19,19.55,44.09,20.925,3.393,553.8,20.819
Kuhi,2023,Winter,22.7,19.9,0.054,38.85,18.0,46.77,20.864,3.98,126.5,20.925
Kuhi,2024,Pre-Monsoon,62.0,34.7,0.079,45.14,19.42,46.63,22.634,3.835,22.7,20.864
Kuhi,2024,Monsoon,760.8,24.7,0.778,42.6,19.92,45.4,18.3,3.388,62.0,22.634
Kuhi,2024,Post-Monsoon,114.1,28.1,0.118,47.13,16.26,45.11,21.811,3.595,760.8,18.3
Kuhi,2024,Winter,18.6,21.1,0.053,37.48,19.02,44.49,21.307,3.444,114.1,21.811
Mouda,2010,Monsoon,681.5,26.3,0.832,33.79,16.21,24.62,16.352,2.754,47.5,19.913
Mouda,2010,Post-Monsoon,142.3,27.5,0.15,35.83,14.55,22.7,18.742,2.605,681.5,16.352
Mouda,2010,Winter,22.4,19.8,0.008,37.94,16.63,18.67,18.585,2.737,142.3,18.742
Mouda,2011,Pre-Monsoon,44.9,33.6,0.065,36.13,15.17,22.91,19.395,2.499,22.4,18.585
Mouda,2011,Monsoon,683.5,27.7,0.876,34.53,17.17,20.93,15.935,3.228,44.9,19.395
Mouda,2011,Post-Monsoon,130.5,26.5,0.169,35.18,17.41,16.54,18.216,2.438,683.5,15.935
Mouda,2011,Winter,21.1,22.4,0.016,39.01,16.64,18.21,18.869,2.638,130.5,18.216
Mouda,2012,Pre-Monsoon,66.0,34.3,0.034,32.32,17.22,18.95,19.542,2.778,21.1,18.869
Mouda,2012,Monsoon,429.9,29.2,0.54,36.02,15.87,19.71,18.295,2.872,66.0,19.542
Mouda,2012,Post-Monsoon,146.7,25.5,0.149,36.0,14.17,20.68,18.145,2.771,429.9,18.295
Mouda,2012,Winter,24.3,22.1,0.067,37.12,17.81,17.31,18.258,2.483,146.7,18.145
Mouda,2013,Pre-Monsoon,48.1,34.0,0.035,39.01,15.2,16.21,20.78,2.873,24.3,18.258
Mouda,2013,Monsoon,663.6,28.3,0.83,38.33,18.11,19.7,16.264,2.816,48.1,20.78
Mouda,2013,Post-Monsoon,110.0,26.1,0.137,34.74,17.81,19.09,18.937,2.578,663.6,16.264
Mouda,2013,Winter,11.5,22.2,0.0,41.54,16.53,21.41,21.064,2.791,110.0,18.937
Mouda,2014,Pre-Monsoon,59.6,34.5,0.075,41.03,16.54,19.61,19.544,2.851,11.5,21.064
Mouda,2014,Monsoon,722.5,28.7,0.861,36.28,15.79,27.15,16.045,2.904,59.6,19.544
Mouda,2014,Post-Monsoon,119.4,26.7,0.139,41.71,19.54,19.71,18.706,2.763,722.5,16.045
Mouda,2014,Winter,24.5,20.8,0.031,36.04,18.11,21.13,18.529,2.953,119.4,18.706
Mouda,2015,Pre-Monsoon,56.3,34.0,0.093,44.03,18.02,24.63,19.771,2.903,24.5,18.529
Mouda,2015,Monsoon,661.9,25.2,0.805,38.84,16.93,26.32,16.821,3.314,56.3,19.771
Mouda,2015,Post-Monsoon,116.9,24.8,0.144,39.13,16.07,21.27,18.949,2.883,661.9,16.821
Mouda,2015,Winter,17.7,21.6,0.016,30.48,16.95,25.32,18.964,2.624,116.9,18.949
Mouda,2016,Pre-Monsoon,49.9,34.0,0.022,44.58,17.56,23.28,21.139,3.278,17.7,18.964
Mouda,2016,Monsoon,536.5,27.6,0.642,33.35,17.59,19.47,17.813,2.665,49.9,21.139
Mouda,2016,Post-Monsoon,102.2,23.5,0.093,42.75,19.88,24.98,19.693,3.059,536.5,17.813
Mouda,2016,Winter,30.0,20.8,0.1,43.88,15.91,21.5,17.265,2.896,102.2,19.693
Mouda,2017,Pre-Monsoon,100.3,32.6,0.13,42.15,17.86,23.99,17.295,3.059,30.0,17.265
Mouda,2017,Monsoon,666.9,27.7,0.864,43.12,17.93,20.78,16.045,2.935,100.3,17.295
Mouda,2017,Post-Monsoon,103.1,24.8,0.091,35.35,17.62,20.04,19.029,2.577,666.9,16.045
Mouda,2017,Winter,21.4,22.0,0.01,38.99,18.4,21.93,19.328,3.266,103.1,19.029
Mouda,2018,Pre-Monsoon,68.4,35.2,0.025,44.97,18.46,26.78,19.974,3.232,21.4,19.328
Mouda,2018,Monsoon,712.8,26.6,0.904,36.15,17.53,29.37,15.507,2.833,68.4,19.974
Mouda,2018,Post-Monsoon,123.8,25.0,0.147,43.46,17.37,26.23,19.586,3.404,712.8,15.507
Mouda,2018,Winter,33.6,22.4,0.051,38.28,17.97,27.82,18.134,3.418,123.8,19.586
Mouda,2019,Pre-Monsoon,41.7,34.6,0.014,37.06,18.52,26.11,21.3,3.08,33.6,18.134
Mouda,2019,Monsoon,537.2,26.9,0.616,35.51,19.02,22.92,18.198,3.175,41.7,21.3
Mouda,2019,Post-Monsoon,137.8,25.1,0.114,41.89,17.81,23.7,18.805,2.551,537.2,18.198
Mouda,2019,Winter,14.9,22.2,0.027,42.66,17.34,22.89,20.918,3.522,137.8,18.805
Mouda,2020,Pre-Monsoon,45.3,34.4,0.129,42.43,19.96,23.5,20.675,3.338,14.9,20.918
Mouda,2020,Monsoon,549.9,25.9,0.707,45.7,20.01,29.86,17.675,3.304,45.3,20.675
Mouda,2020,Post-Monsoon,141.6,24.7,0.143,43.6,18.32,25.28,19.156,3.358,549.9,17.675
Mouda,2020,Winter,12.0,21.3,0.036,37.54,17.84,23.25,20.877,3.338,141.6,19.156
Mouda,2021,Pre-Monsoon,50.7,34.7,0.079,43.89,19.11,26.65,21.256,3.546,12.0,20.877
Mouda,2021,Monsoon,738.5,28.2,0.919,46.12,18.9,26.39,15.431,2.671,50.7,21.256
Mouda,2021,Post-Monsoon,103.9,24.5,0.171,44.24,18.68,24.48,19.877,3.456,738.5,15.431
Mouda,2021,Winter,20.1,21.0,0.051,36.92,18.65,24.82,18.959,2.757,103.9,19.877
Mouda,2022,Pre-Monsoon,84.9,33.6,0.113,49.32,18.37,30.98,19.373,3.983,20.1,18.959
Mouda,2022,Monsoon,681.3,26.9,0.821,43.56,19.82,26.41,16.413,3.167,84.9,19.373
Mouda,2022,Post-Monsoon,155.8,25.1,0.172,44.47,20.45,29.3,18.059,3.29,681.3,16.413
Mouda,2022,Winter,18.2,23.1,0.0,38.48,18.09,27.16,20.092,3.107,155.8,18.059
Mouda,2023,Pre-Monsoon,65.9,35.5,0.028,47.51,18.82,28.81,19.813,3.37,18.2,20.092
Mouda,2023,Monsoon,802.1,24.9,0.989,40.69,19.64,28.93,15.338,3.02,65.9,19.813
Mouda,2023,Post-Monsoon,153.4,23.9,0.207,46.82,18.87,23.96,18.062,2.89,802.1,15.338
Mouda,2023,Winter,20.1,21.9,0.006,41.89,19.23,29.5,19.787,2.758,153.4,18.062
Mouda,2024,Pre-Monsoon,43.7,35.3,0.026,42.52,18.76,27.34,21.271,3.306,20.1,19.787
Mouda,2024,Monsoon,459.9,27.9,0.565,48.03,18.64,23.52,19.072,3.659,43.7,21.271
Mouda,2024,Post-Monsoon,113.3,24.9,0.192,41.46,18.62,28.96,19.113,3.53,459.9,19.072
Mouda,2024,Winter,23.8,21.7,0.024,41.36,19.2,25.09,19.289,3.344,113.3,19.113
Nagpur Rural,2010,Monsoon,1004.7,26.5,1.183,23.55,13.72,27.5,13.072,2.372,60.6,18.558
Nagpur Rural,2010,Post-Monsoon,78.7,26.9,0.159,25.0,13.67,27.62,19.649,1.728,1004.7,13.072
Nagpur Rural,2010,Winter,18.1,23.4,0.017,29.49,12.9,29.45,19.629,2.135,78.7,19.649
Nagpur Rural,2011,Pre-Monsoon,76.8,33.6,0.044,26.5,13.83,28.98,18.489,1.825,18.1,19.629
Nagpur Rural,2011,Monsoon,707.6,26.3,0.797,28.91,15.0,28.05,16.28,2.724,76.8,18.489
Nagpur Rural,2011,Post-Monsoon,178.8,26.5,0.232,26.05,15.55,31.4,17.58,2.316,707.6,16.28
Nagpur Rural,2011,Winter,18.4,20.4,0.008,28.92,16.23,28.69,19.795,2.654,178.8,17.58
Nagpur Rural,2012,Pre-Monsoon,72.2,31.1,0.064,26.27,13.14,29.29,18.715,2.233,18.4,19.795
Nagpur Rural,2012,Monsoon,602.8,25.7,0.743,31.77,14.48,29.42,17.195,2.503,72.2,18.715
Nagpur Rural,2012,Post-Monsoon,118.6,26.9,0.115,28.58,15.24,28.66,19.244,2.694,602.8,17.195
Nagpur Rural,2012,Winter,16.1,20.9,0.054,21.78,13.96,29.39,20.08,2.272,118.6,19.244
Nagpur Rural,2013,Pre-Monsoon,47.5,32.5,0.072,30.86,16.73,33.09,20.847,2.793,16.1,20.08
Nagpur Rural,2013,Monsoon,745.1,24.9,0.853,33.69,17.37,31.01,15.823,2.871,47.5,20.847
Nagpur Rural,2013,Post-Monsoon,171.7,26.7,0.201,28.01,16.19,32.81,18.229,3.223,745.1,15.823
Nagpur Rural,2013,Winter,26.0,19.8,0.058,32.61,16.62,36.69,19.14,3.094,171.7,18.229
Nagpur Rural,2014,Pre-Monsoon,62.0,31.7,0.079,31.09,15.62,39.63,20.85,3.226,26.0,19.14
Nagpur Rural,2014,Monsoon,868.5,27.0,1.079,29.48,17.3,35.57,14.491,2.766,62.0,20.85
Nagpur Rural,2014,Post-Monsoon,161.7,27.2,0.2,33.5,16.95,34.92,18.111,2.842,868.5,14.491
Nagpur Rural,2014,Winter,13.6,21.7,0.029,27.4,16.78,37.91,21.248,3.032,161.7,18.111
Nagpur Rural,2015,Pre-Monsoon,47.4,32.6,0.069,35.96,18.91,40.03,20.796,2.821,13.6,21.248
Nagpur Rural,2015,Monsoon,675.8,26.7,0.817,35.58,17.12,35.71,16.916,2.867,47.4,20.796
Nagpur Rural,2015,Post-Monsoon,129.4,24.5,0.145,39.14,16.46,31.99,18.973,3.006,675.8,16.916
Nagpur Rural,2015,Winter,19.2,22.6,0.0,36.01,19.19,34.47,20.046,2.875,129.4,18.973
Nagpur Rural,2016,Pre-Monsoon,57.5,35.9,0.126,35.89,20.26,39.24,21.103,3.228,19.2,20.046
Nagpur Rural,2016,Monsoon,695.4,31.1,0.884,34.77,19.32,38.24,17.124,3.414,57.5,21.103
Nagpur Rural,2016,Post-Monsoon,125.9,26.0,0.166,38.17,16.41,40.81,18.973,2.704,695.4,17.124
Nagpur Rural,2016,Winter,20.9,20.1,0.051,32.87,17.94,37.68,19.746,3.064,125.9,18.973
Nagpur Rural,2017,Pre-Monsoon,69.4,34.1,0.029,33.09,19.06,40.46,20.215,3.102,20.9,19.746
Nagpur Rural,2017,Monsoon,811.6,25.6,0.967,35.68,19.36,44.12,15.121,2.543,69.4,20.215
Nagpur Rural,2017,Post-Monsoon,102.2,25.3,0.114,39.08,18.76,43.63,20.215,3.107,811.6,15.121
Nagpur Rural,2017,Winter,12.8,21.5,0.019,38.52,20.66,39.45,21.921,3.309,102.2,20.215
Nagpur Rural,2018,Pre-Monsoon,58.5,32.6,0.05,42.22,20.35,41.31,21.647,3.872,12.8,21.921
Nagpur Rural,2018,Monsoon,536.7,27.7,0.704,35.39,19.48,40.7,18.195,3.05,58.5,21.647
Nagpur Rural,2018,Post-Monsoon,169.9,25.8,0.222,40.33,19.87,42.88,19.099,3.811,536.7,18.195
Nagpur Rural,2018,Winter,22.3,21.8,0.0,40.77,20.74,45.03,20.661,3.838,169.9,19.099
Nagpur Rural,2019,Pre-Monsoon,76.5,34.4,0.084,44.11,17.59,45.69,18.665,2.996,22.3,20.661
Nagpur Rural,2019,Monsoon,695.7,25.5,0.838,47.21,20.04,50.34,17.718,3.984,76.5,18.665
Nagpur Rural,2019,Post-Monsoon,120.0,24.7,0.145,42.99,19.16,44.09,20.305,3.813,695.7,17.718
Nagpur Rural,2019,Winter,18.0,20.9,0.029,44.95,19.52,42.13,20.987,3.463,120.0,20.305
Nagpur Rural,2020,Pre-Monsoon,66.5,34.6,0.036,45.85,21.98,47.53,20.896,3.453,18.0,20.987
Nagpur Rural,2020,Monsoon,632.2,26.4,0.807,49.6,23.04,49.88,18.39,4.222,66.5,20.896
Nagpur Rural,2020,Post-Monsoon,125.8,26.2,0.18,44.99,20.52,45.56,20.341,3.718,632.2,18.39
Nagpur Rural,2020,Winter,22.1,20.5,0.05,46.3,20.01,50.2,19.732,3.329,125.8,20.341
Nagpur Rural,2021,Pre-Monsoon,45.0,34.1,0.047,46.22,22.59,49.3,22.448,4.082,22.1,19.732
Nagpur Rural,2021,Monsoon,351.3,26.5,0.368,47.34,21.97,51.07,21.608,4.057,45.0,22.448
Nagpur Rural,2021,Post-Monsoon,135.0,25.3,0.167,50.19,21.41,50.47,20.179,3.764,351.3,21.608
Nagpur Rural,2021,Winter,23.2,21.1,0.006,44.66,21.43,49.81,20.319,3.976,135.0,20.179
Nagpur Rural,2022,Pre-Monsoon,58.8,34.1,0.146,45.17,24.17,50.69,21.39,4.08,23.2,20.319
Nagpur Rural,2022,Monsoon,633.6,28.9,0.769,52.7,22.05,50.16,18.507,4.307,58.8,21.39
Nagpur Rural,2022,Post-Monsoon,122.0,25.7,0.117,48.61,21.1,48.03,21.171,4.324,633.6,18.507
Nagpur Rural,2022,Winter,17.7,22.9,0.029,48.85,23.13,50.47,21.412,3.984,122.0,21.171
Nagpur Rural,2023,Pre-Monsoon,37.3,34.8,0.038,49.58,23.43,54.16,22.822,4.027,17.7,21.412
Nagpur Rural,2023,Monsoon,672.9,29.1,0.846,54.29,24.66,55.0,18.799,4.659,37.3,22.822
Nagpur Rural,2023,Post-Monsoon,93.1,26.9,0.074,48.99,24.72,54.28,22.317,4.202,672.9,18.799
Nagpur Rural,2023,Winter,18.9,21.1,0.026,54.77,23.06,53.06,21.387,4.497,93.1,22.317
Nagpur Rural,2024,Pre-Monsoon,47.1,33.7,0.053,52.63,25.91,53.79,21.924,3.843,18.9,21.387
Nagpur Rural,2024,Monsoon,633.4,26.1,0.824,52.94,25.43,54.19,18.556,4.436,47.1,21.924
Nagpur Rural,2024,Post-Monsoon,168.4,23.0,0.148,51.81,24.16,55.76,19.752,4.263,633.4,18.556
Nagpur Rural,2024,Winter,23.9,21.2,0.058,54.26,23.58,55.78,20.726,4.43,168.4,19.752
Nagpur Urban,2010,Monsoon,581.7,26.9,0.552,45.71,17.62,15.8,18.416,2.702,52.1,21.448
Nagpur Urban,2010,Post-Monsoon,151.5,25.5,0.179,47.25,18.74,15.92,19.201,3.349,581.7,18.416
Nagpur Urban,2010,Winter,21.3,21.3,0.004,45.71,19.02,16.97,20.16,3.087,151.5,19.201
Nagpur Urban,2011,Pre-Monsoon,57.3,32.7,0.065,52.87,21.06,22.32,21.759,3.999,21.3,20.16
Nagpur Urban,2011,Monsoon,564.2,25.8,0.573,48.08,20.34,19.68,18.181,2.992,57.3,21.759
Nagpur Urban,2011,Post-Monsoon,145.5,28.6,0.238,53.45,18.71,14.91,19.117,3.048,564.2,18.181
Nagpur Urban,2011,Winter,17.3,20.8,0.05,52.68,19.54,17.65,20.207,3.223,145.5,19.117
Nagpur Urban,2012,Pre-Monsoon,62.4,36.3,0.069,57.31,19.96,19.21,20.713,3.37,17.3,20.207
Nagpur Urban,2012,Monsoon,524.2,28.1,0.516,57.16,20.84,21.79,19.564,3.49,62.4,20.713
Nagpur Urban,2012,Post-Monsoon,104.0,24.4,0.069,54.88,22.04,22.58,21.258,3.78,524.2,19.564
Nagpur Urban,2012,Winter,20.6,20.5,0.055,55.65,21.99,22.64,19.883,3.31,104.0,21.258
Nagpur Urban,2013,Pre-Monsoon,80.5,33.8,0.072,60.9,20.1,21.88,20.358,3.657,20.6,19.883
Nagpur Urban,2013,Monsoon,626.7,27.4,0.692,56.79,21.86,18.99,18.29,3.426,80.5,20.358
Nagpur Urban,2013,Post-Monsoon,97.8,25.6,0.129,52.54,21.24,22.91,21.272,3.872,626.7,18.29
Nagpur Urban,2013,Winter,26.2,20.8,0.006,55.85,21.45,24.56,19.736,3.76,97.8,21.272
